State,Source_city,Postal_Code ,Weather,Sea_level / m,Latitude / degrees(Optional),Longitude / degrees(Optional)
North Dakota,Bismarck,58501,"8 November 12 am to 8 November 2 am: Cold, Light Snow, Light Fog
8 November 2 am to 8 November 5 am : Cold, Clear
8 November 5 am to 8 November 11 am : Cold, light winds
8 November 11 am to 8 November 5 pm : Cold, Heavy winds
8 November 5 pm to 8 November 11 pm : Cold, light winds
8 November 11 pm to 9 November 2 am : Clear, Cold
9 November 2 am to 9 November 7 am : light winds, Cold, Clear
9 November 7 am to 9 November 8 am : Light Snow, Light Fog, light winds, Cold
9 November 8 am to 10 November 12 am : Clear, Cold, light winds",520,46.825905,-100.778275
North Dakota,Minot,58701,"8 November 12 am to 8 November 5 am : Cold, light winds
8 November 5 am to 8 November 6 am : Cold, light winds, Light Rain
8 November 6 am to 8 November 8 am : Cold, light winds
8 November 8 am to 8 Novemberber 9 am : Cold, Light Snow, light winds
8 November 9 am to 8 November 11 am : Cold, light winds
8 November 11 am to 8 November 7 pm : Heavy winds, Light Rain, Cold
8 November 7 pm to 8 November 8 pm : Cold, Light Snow, Heavy winds
8 November 8 pm to 8 November 10 pm: Cold, Light Snow, light winds
8 November 10 pm to 9 November 2 am : Cold, Clear, light winds
9 November 2 am to 9 November 3 am : Cold, Light Rain, light winds
9 November 3 am to 9 November 4 am : Cold, Light Snow, light winds
9 November 4 am to 9 November 9 am : light winds, Cold
9 November 9 am to 9 November 11 am : Light Snow, Heavy winds, Cold
9 November 11 am to 9 November 2 pm : Clear, Cold, Heavy winds
9 November 2 pm to 9 November 3 pm : Light Snow, light winds, Cold
9 November 3 pm to 9 November 9 pm : Cold, light winds
9 November 9 pm to 10 November 12 am : Light Snow, light winds, Light fog, Cold",470,48.230164,-101.291199
North Dakota,Devils Lake,58301,"8 November 12 am to 8 November 3 am : Cold, light winds
8 November 3 am to 8 November 5 am : Light Fog, light winds, Cold
8 November 5 am to 8 November 6 am : Light Rain, Light Fog, light winds, Cold
8 November 6 am to 8 November 7 am : Light Fog, light winds, Cold
8 November 7 am to 8 November 8 am : Heavy Fog, light winds, Cold
8 November 8 am to 8 November 9 am : Light Fog, light winds, Cold
8 November 9 am to 8 November 5 pm : light winds, Cold
8 November 5 pm to 8 November 7 pm : Light Rain, light winds, Cold
8 November 7 pm to 9 November 4 am : Cold, Clear, light winds
9 November 4 am to 9 November 5 am : Cold, Light Rain, Heavy winds
9 November 5 am to 9 November 8 am : Cold, light winds
9 November 8 am to 9 November 9 am : Light Snow, light winds, Cold, Light Fog
9 November 9 am to 9 November 12 pm : Cold, light winds
9 November 12 pm to 9 November 2 pm : Light Snow, Light Fog, light winds, Cold
9 November 2 pm to 9 November 3 pm : Light Fog, Cold, light winds
9 November 3 pm to 9 November 7 pm : Light Snow, Light Fog, light winds, Cold
9 November 7 pm to 9 November 11 pm : Light Snow, light winds, Cold
9 November 11 pm to 10 November 12 am : Clear, Cold, light winds",438,48.111767,-98.863274
North Dakota,Jamestown,58401,"8 November 12 am to 8 November 5 am : Cold, light winds
8 November 5 am to 8 November 6 am : Cold, light winds, Light Fog
8 November 6 am to 8 November 7 am : Cold, light winds
8 November 7 am to 8 November 9 am : light winds, Cold, Light Fog
8 November 8 am to 8 November 2 pm : light winds, Cold
8 November 2 pm to 8 November 3 pm : Cold, Heavy winds
8 November 3 pm to 9 November 11 am : Cold, light winds
9 November 11 am to 9 November 1 pm : Light Snow, Heavy winds, Cold
9 November 1 pm to 9 November 2 pm : Light Snow, Light Fog, Cold, light winds
9 November 2 pm to 9 November 3 pm : light winds, Cold
9 November 3 pm to 9 November 4 pm : light winds, Light Snow, Cold
9 November 4 pm to 9 November 5 pm : light winds, Light Snow, Light Fog, Cold
9 November 5 pm to 10 November 12 am : Cold, light winds  ",458,46.9105,-98.708534
North Dakota,Fargo,58103,"8 November 12 am to 8 November 5 am : Clear, Cold, light winds
8 November 5 am to 8 November 6 am : Clear, Cold, Light Fog, light winds
8 November 6 am to 8 November 7 am : Clear, Cold, light winds
8 November 7 am to 8 November 9 am : Clear, Cold, light winds, Light Fog
8 November 9 am to 8 November 2 pm : Cold, light winds
8 November 2 pm to 8 November 3 pm : Cold, Heavy winds
8 November 3 pm to 9 November 8 am : Cold, Clear, light winds
9 November 8 am to 9 November 11 am : Cold, Heavy winds
9 November 11 am to 9 November 2 pm : Light Snow, light winds, Cold
9 November 2 pm to 9 November 3 pm : Cold, Clear, light winds
9 November 3 pm to 9 November 4 pm : Cold, Light Snow, light winds
9 November 4 pm to 9 November 5 pm : Cold, Light Snow, light winds, Light Fog
9 November 5 pm to 10 November 12 am : Cold, Clear, light winds ",276,46.8772,-96.789803
North Dakota,Grand Forks,58203,"8 November 12 am to 8 November 2 am : Cold, light winds, Clear
8 November 2 am to 8 November 5 am : Cold, light winds, Light Fog
8 November 5 am to 8 November 6 am : Cold, light winds, Light Rain, Light Fog
8 November 6 am to 8 November 10 am : Cold, light winds, Light Fog
8 November 10 am to 8 November 5 pm : light winds, Cold
8 November  5 pm to 8 November 7 pm : Light Rain, light winds, Cold
8 November 7 pm to 9 November 4 am : Cold, light winds
9 November 4 am to 9 November 5 am : Light Rain, Heavy winds, Cold
9 November 5 am to 9 November 8 am : light winds, Cold
9 November 8 am to 9 November 9 am : Light Snow, Light Fog, light winds, Cold
9 November 9 am to 9 November 12 pm : Cold, light winds
9 November 12 pm to 9 November 2 pm : Cold, Light Snow, Light Fog, light winds
9 November 2 pm to 9 November 3 pm : Cold, Light Fog, light winds
9 November 3 pm to 9 November 7 pm : Cold, Light Snow, Light Fog, light winds
9 November 7 pm to 9 November 11 pm : Cold, Light Snow, light winds
9 November 11 pm to 10 November 12 am : Cold, light winds",253,47.9253,-96.789803
North Dakota,Bowman,58623,"8 November 12 am to 8 November 9 am : Cold, light winds
8 November 9 am to 8 November 4 pm : Cold, Heavy winds, Clear
8 November 4 pm to 9 November 3 am : Cold, Clear, light winds
9 November 3 am to 9 November 4 am : Cold, light winds, Light Snow
9 November 4 am to 9 November 5 am : Cold, light winds
9 November 5 am to 9 November 6 am : Cold, Heavy Snow, Light Fog, light winds
9 November 6 am to 9 November 7 am : Cold, light winds
9 November 7 am to 9 November 8 am : Cold, Light Snow, Heavy winds
9 November 8 am to 9 November 7 pm : Cold, light winds
9 November 7 pm to 10 November 12 am : Very Cold, Clear ",903,46.1831,-103.3949
North Dakota,New Town,58763,"8 November 12 am to 8 November 3 am : Cold, light winds
8 November 3 am to 8 November 4 am : Cold, light winds, Light Fog
8 November 4 am to 8 November 7 am : Cold, Light Rain, light winds
8 November 7 am to 8 November 8 am : Cold, light winds
8 November 8 am to 8 November 7 pm : Cold, Heavy winds
8 November 7 pm to 8 November 8 pm : Cold, Light Fog, Light Snow, light winds
8 November 8 pm to 9 November 9 pm : light winds, Cold
9 November 9 pm to 10 November 12 am : Cold",587,47.9808,-102.490181
South Dakota,Pierre,57501,"8 November 12 am  to 8 November 3 am : light winds, Cold 
8 November 3 am to 8 November 8 am : light winds 
8 November 8 am to 8 November 5 pm : Clear, Cold, Heavy winds
8 November 5 pm to 9 November 12 am : Clear, Cold,light winds
9 November 12 am to 9 November 8 am : Cold, light winds
9 November 8 am to 9 November 5 pm : Cold, High Winds
9 November 5 pm to 10 November 12 am : Cold, Clear",518,44.5674025,-100.3107765
South Dakota,Mobridge,57601,"8 November 12 am to 8 November 7 am : light winds, Cold
8 November 7 am to 8 November 3 pm : Clear, Cold, Heavy winds
8 November 3 pm to 9 November 12 am : Cold, light winds
9 November 12 am to 9 November 9 am: Clear, Cold, light winds
9 November 9 am to 9 November 2 pm : Cold, Heavy winds
9 November 2 pm to 10 November 12 am : Cold, light winds",506,45.3777143,-100.9223433
South Dakota,Aberdeen,57401,"8 November 12 am  to 8 November 1 pm : light winds, Cold
8 November 1 pm to 8 November 2 pm : Cold, Heavy winds 
8 November 2 pm to 9 November 12 am : Clear, Cold, light winds
9 November 12 am to 10 November 12 am : Cold, light winds",396,43.452947,-103.9566383
South Dakota,Murdo,57559,"8 November 12 am  to 8 November 9 am : light winds, Cold
8 November 9 am to 8 November 3 pm : Clear, Cold, Heavy winds
8 November 3 pm to 9 November 12 am : light winds, Cold
9 November 12 am to 9 November 9 am : Cold, light winds
9 November 9 am to 9 November 2 pm : Cold, Heavy winds
9 November 2 pm to 10 November 12 am : Cold, light winds",707,43.8971506,-101.0831369
South Dakota,Mitchell,57301,"8 November 12 am  to 8 November 1 pm : light winds, Cold
8 November 1 pm to 8 November 4 pm : Cold, Heavy winds
8 November 4 pm to 9 November 12 am : light winds, Cold
9 November 12 am to 10 November 12 am : Cold, light winds
",396,43.7183647,-98.187725
South Dakota,Sioux Falls,57101,"8 November 12 am to 8 November 1 pm : light winds, Cold
8 November 1 pm to 8 November 4 pm : Cold, Heavy winds
8 November 2 pm to 9 November 12 am : Clear, Cold, light winds
9 November 12 am to 10 November 12 am : Clear, Cold, light winds",446,43.5147976,-96.7847953
South Dakota,Vermillion,57069,"8 November 12 am  to 8 November 2 pm : light winds, Cold
8 November 2 pm to 8 November 4 pm : Cold, Heavy winds 
8 November 4 pm to 9 November 12 am : light winds, Cold
9 November 12 am to 9 November 3 pm : Cold, light winds
9 November 3 pm to 9 November 4 pm : Cold, Heavy winds
9 November 4 pm to 10 November 12 am : Cold, light winds",372,42.8364687,-97.1673872
South Dakota,Rapid City,57701,"8 November 12 am  to 8 November 8 am : light winds, Cold
8 November 8 am to 8 November 2 pm : Cold, Heavy winds
8 November 2 pm to 9 November 12 am : light winds, Cold
9 November 12 am to 9 November 10 am : Cold, light winds
9 November 10 am to 9 November 12 pm : Cold, Heavy winds
9 November 12 pm to 10 November 12 am : Cold, light winds",976,44.1277665,-103.3586928
South Dakota,Watertown,57201,"8 November 12 am  to 8 November 1 pm : light winds, Cold
8 November 1 pm to 8 November 4 pm : Cold, Heavy winds 
8 November 4 pm to 9 November 12 am : light winds, Cold
9 November 12 am to 9 November 12 pm : Cold, light winds
9 November 12 pm to 9 November 1 pm : Cold, Heavy winds
9 November 12 pm to 10 November 12 am : Cold, light winds
",527,44.9512615,-97.2706641
Nebraska,Ainsworth,69210,"8 November 12 am to 8 November 2 am : Clear, Cold
8 November 2 am to 8 November 4 am : Clear, Cold, light winds
8 November 4 am to 8 November 9 am : Cold, Clear
8 November 9 am to 8 November 7 pm : Clear, Cold, light winds
8 November 7 pm to 9 November 10 am : Clear, Cold
9 November 10 am to 9 November 7 pm : Clear, Cold, light winds
9 November 7 pm to 10 November 12 am :Cold, Clear",769,42.545,-99.8615
Nebraska,Omaha,68007,"8 November 12 am to 8 November 9 am : Clear, Cold
8 November 9 am to 8 November 11 am : Clear, Cold, light winds
8 November 11 am to 8 November 4 pm :  light winds, Clear
8 November 4 pm to 9 November 1 am : Clear, Cold, light winds
9 November 1 am to 9 November 10 am: Clear, Cold 
9 November 10 am to 9 November 1 pm: Clear, Cold, light winds
9 November 1 pm to 9 November 5 pm: Clear, light winds
9 November 5 pm to 9 November 10 pm: Clear, light winds, Cold
9 November 10 pm to 10 November 12 am: Clear, Cold",323,41.2565,-95.9345
Nebraska,O'Neil,68973,"8 November 12 am to 8 November 2 am : Clear, Cold, light winds
8 November 2 am to 8 November 4 am :  Clear, Cold  
8 November 4 am to 8 November 3 pm : Clear, Low Winds, Cold
8 November 3 pm to 8 November 5 pm :  Cold, Clear, Heavy winds
8 November 5 pm to 9 November 4 pm : Clear, Cold, light winds
9 November 4 pm to 9 November 5 pm: Cold, Clear, Heavy winds
9 November 5 pm to 10 November 12 am : Clear, Cold, light winds",610,42.4577,-98.6479
Nebraska,Columbus,68601,"8 November 12 am to 8 November 1 am :Cold, Clear
8 November 1 am to 8 November 11 am :   Cold, Clear, light winds  
8 November 11 am to 8 November 2 pm : Clear, light winds
8 November 2 pm to 8 November 5 pm :  Cold, Heavy winds
8 November 5 pm to 8 November 10 pm : Clear, Cold, light winds
8 November 10 pm to 9 November 11 am : Clear, Cold
9 November 11 am to 9 November 12 pm : Clear, Cold, light winds
9 November 12 pm to 9 November 5 pm : Clear, light winds
9 November 5 pm to 9 November 8 pm : Clear, Cold, light winds
9 November 8 pm to 10 November 12 am : Clear, Cold

",441,41.4303,-97.3594
Nebraska,Lincoln,68501,"8 November 12 am to 8 November 2 am :Cold, Clear
8 November 2 am to 8 November 11 am : Clear, light winds, Cold 
8 November 11 am to 8 November 2 pm : Clear, light winds
8 November 2 pm to 8 November 5 pm :  Clear, Heavy winds
8 November 5 pm to 8 November  10 pm : Cold, light winds, Clear
8 November 10 pm to 9 November 11 am: Clear, Cold
9 November 11 am to 9 November 5 pm: Clear, light winds
9 November 5 pm to 9 November 8 pm: Cold, Clear, light winds
9 November 8 pm to 10 November 12 am: Clear, Cold",366,40.8136,-96.681679
Nebraska,Lexington,68850,"8 November 12 am to 8 November 12 pm :Cold, Clear, light winds
8 November 12 pm to 8 November 2 pm : Clear, light winds 
8 November 2 pm to 9 November 3 am : Cold, Clear, light winds
9 November 3 am to 9 November 8 am :  Clear, Cold
9 November 8 am to 9 November 7 pm : Clear, Cold, light winds
9 November 7 pm to 10 November 12 am: Clear, Cold",729,40.7808,-99.7415
Nebraska,Hyannis,69350,"8 November 12 am to 8 November 3 am :Clear, Cold, light winds
8 November 3 am to 8 November 5 am : Cold, Clear  
8 November 5 am to 8 November 6 pm : Cold, Clear, light winds
8 November 6 pm to 9 November 9 am :  Clear, Cold
9 November 9 am to 9 November 6 pm : Clear, Cold, light winds
9 November 6 pm to 9 November 10 pm: Clear, Cold
9 November 10 pm to 10 November 12 am: Clear, Very Cold",1145,42.0005,-101.7618
Nebraska,Grand Island,68801,"8 November 12 am to 8 November 12 pm : Cold, Clear, light winds
8 November 12 pm to 8 November 3 pm : Clear, Light winds  
8 November 3 pm to 9 November 3 pm : Light Winds, Clear
8 November 3 pm to 9 November 6 pm :  Clear, light winds
8 November 6 pm to 9 November 9 pm : Clear, Cold, light winds
9 November 9 pm to 10 November 12 am: Clear, Cold",570,40.9264,-98.342
Kansas,WaKeeney,50003,"8 November 12 am to 8 November 1 am : Cold, Light Fog 
8 November 1 am to 8 November 2 am : Cold, light winds, Light Fog
8 November 2 am to 8 November 5 am : Heavy Fog, Cold, Light winds
8 November 5 am to 8 November 11 am : Light Fog, Light winds, Cold
8 November 11 am to 8 November 4 pm : Light winds, Clear
8 November 4 pm to 8 November 7 pm : Clear, Heavy winds
8 November 7 pm to 9 November 8 am : Clear, Light winds, Cold
9 November 8 am to 9 November 1 pm : Clear, Cold
9 November 1 pm to 9 November 5 pm : Clear, Light winds
9 November 5 pm to 10 November 12 am : Clear, Cold",746,39.024467,-99.881972
Kansas,Dodge City,67672,"8 November 12 am to 8 November 5 am : Clear, Cold, Light winds 
8 November 5 am to 8 November 10 am : Cold, Light winds, Light Fog
8 November 10 am to 8 November 12 pm : Clear, Cold, Light winds
8 November 12 pm to 8 November 7pm: Clear, Light winds
8 November 7 pm to 9 November 8 am: Clear,Cold
9 November 8 am to 10 November 12 am: Clear, Light winds, Cold",780,37.753098,-100.024872
Kansas,Salina,67401,"8 November 12 am to 8 November 5 am : Clear, Cold, Light winds 
8 November 5 am to 8 November 10 am : Cold, Light winds, Light Fog
8 November 10 am to 8 November 12 pm : Clear, Cold, Light winds
8 November 12 pm to 8 November 7pm: Clear, Light winds
8 November 7 pm to 9 November 8 am: Clear, Cold
9 November 8 am to 10 November 12 am: Clear, Light winds, Cold
",373,38.8402805,-97.6114237
Kansas,Wichita,67202,"8 November 12 am to 8 November 5 am : Clear, Light winds 
8 November 5 am to 8 November 11 am : Cold, Light winds, Clear
8 November 11 am to 8 November 9 pm : Clear, Light winds
8 November 9 pm to 9 November 7 pm: Clear, Light winds, Cold
9 November 7 pm to 10 November 12 am: Clear, Cold


",397,37.697948,-97.314835
Kansas,Topeka,66605,"8 November 12 am to 8 November 1 am : Cold, Clear 
8 November 1 am to 8 November 2 am : Cold, Light Fog
8 November 2 am to 8 November 8 am : Cold, Heavy Fog
8 November 8 am to 8 November 11 am: Light Fog, Light winds, Cold
8 November 11 am to 8 November 7 pm: Clear, Light winds
8 November 7 pm to 9 November 3 am: Clear, Cold, Light winds
9 November 3 am to 9 November 4 pm: Clear, Cold
9 November 4 pm to 9 November 5 pm: Clear
9 November 5 pm to 10 November 12 am: Clear, Cold",286,39.056198,-95.695312
Kansas,Garden City,67846,"8 November 12 am to 8 November 3 am : Cold,Clear, Light winds 
8 November 3 am to 8 November 9 am : Cold, Light winds, Light Fog
8 November 9 am to 8 November 3 pm : Clear, Heavy winds
8 November 3 pm to 8 November 7 pm: Clear, Light winds
8 November 7 pm to 9 November 8 am: Clear, Cold, Light winds
9 November 8 am to 9 November 11 pm: Clear,Cold
9 November 11 pm to 10 November 12 am: Clear,Cold, Light winds",862,37.971691,-100.872665
Kansas,Manhattan,66502,"8 November 12 am to 8 November 1 am : Cold, Heavy Fog 
8 November 1 am to 8 November 2 am : Cold, Clear
8 November 2 am to 8 November 8 am : Cold, Heavy Fog
8 November 8 am to 8 November 11 am: Clear, Light winds, Cold
8 November 11 am to 8 November 8 pm: Clear, Light winds
8 November 8 pm to 9 November 2 pm: Clear, Cold
9 November 2 pm to 9 November 4 pm: Clear
9 November 4 pm to 9 November 7 pm: Clear, Light winds
9 November 7 pm to 10 November 12 am: Clear, Cold",392,39.183609,-96.571671
Oklahoma,Elk City,73644,"8 November 12 am to 8 November 5 am : Clear, light winds, Cold
8 November 5 am to 8 November 9 am : Clear, light winds, Cold
8 November 9 am to 8 November 5 pm : Hot, light winds
8 November 5 pm to 9 November 5 am : Clear, light winds, Cold
9 November 5 am to 9 November 4 pm : light winds, Cold
9 November 4 pm to 9 November 5 pm : Light Rain, light winds, Cold
9 November 5 pm to 9 November 8 pm : light winds, Cold
9 November 8 pm to 9 November 9 pm : Clear, light winds, Cold
9 November 9 pm to 10 November 12 am : light winds, Cold",590,35.3419882,-99.6669223
Oklahoma,Oklahoma City,73101,"8 November 12 am to 8 November 8 am : Clear, light winds, Cold
8 November 8 am to 8 November 3 pm : Hot, light winds
8 November 3 pm to 9 November 4 am : light winds, Cold
9 November 4 am to 9 November 5 am : Heavy winds, Cold
9 November 5 am to 10 November 12 am : light winds, Cold",366,35.4827589,-97.808871
Oklahoma,Cleveland,74020,"8 November 12 am to 8 November 4 am : Clear, light winds, Cold
8 November 4 am to 8 November 5 pm : light winds, Cold
8 November 5 pm to 9 November 12 am : Clear, light winds, Cold
9 November 12 am to 9 November 2 am : light winds, Cold
9 November 3 am to 9 November 4 am : Clear, light winds, Cold
9 November 4 am to 10 November 12 am : light winds, Cold",199,36.2967076,-96.4988125
Oklahoma,Norman,73026,"8 November 12 am to 8 November 7 am : Clear, light winds, Cold
8 November 7 am to 8 November 3 pm : light winds, Hot
8 November 3 pm to 9 November 3 am : light winds, Cold
9 November 3 am to 9 November 5 am : Heavy winds, Cold
9 November 5 am to 10 November 12 am : light winds, Cold",357,35.2469896,-97.5271858
Oklahoma,McAlester,74501,"7 November 12 am to 7 November 4 am : light winds, Cold
7 November 4 am to 7 November 5 am : Clear, light winds, Cold
7 November 5 am to 7 November 5 pm : light winds, Hot
7 November 5 pm to 7 November 7 pm : Clear, light winds, cold
7 November 7 pm to 7 November 8 pm : light winds, Cold
7 November 8 pm to 7 November 9 pm : Clear, light winds, Cold
7 November 9 pm to 7 November 11 pm : light winds, Cold
7 November 11 pm to 8 November 2 am : Clear, light winds, Cold
8 November 2 am to 8 November 11 am : light winds, Cold
8 November 11 am to 8 November 5 pm : light winds, Hot
8 November 5 pm to 9 November 12 am : light winds, Cold",226,34.9191245,-95.8609535
Oklahoma,Antlers,74523,"8 November 12 am to 8 November 7 am : Clear, light winds, Cold
8 November 7 am to 8 November 5 pm : light winds, Hot
8 November 5 pm to 8 November 9 pm : Clear, light winds, Cold
8 November 9 pm to 9 November 7 am : light winds, Cold
9 November 7 am to 9 November 10 pm : Light Rain, light winds, Cold
9 November 10 pm to 9 November 11 pm : light winds, Cold
9 November 11 pm to 10 November 12 am : Light Rain, light winds, Cold",155,34.2321068,-95.6484816
Oklahoma,Tulsa,74102,"8 November 12 am to 8 November 4 am : Clear, light winds, Cold
8 November 4 am to 8 November 6 am : light winds, Cold
8 November 6 am to 8 November 6 pm : light winds, Hot
8 November 6 pm to 9 November 12 am : Clear, light winds, Cold
9 November 12 am to 9 November 2 am : light winds, Cold
9 November 2 am to 9 November 3 am : Clear, light winds, Cold
9 November 3 am to 10 November 12 am : light winds, Cold",220,36.1524043,-96.2076832
Oklahoma,Ponca City,74602,"8 November 12 am to 8 November 7 am : Clear, light winds, Cold
8 November 7 am to 8 November 3 pm : light winds, Hot
8 November 3 pm to 8 November 8 pm : light winds, Cold
8 November 8 pm to 8 November 11 pm : Clear, light winds, Cold
8 November 11 pm to 9 November 2 am : light winds, Cold
9 November 2 am to 9 November 4 am : Clear, light winds, Cold
9 November 4 am to 9 November 5 am : light winds, Cold
9 November 5 am to 9 November 7 am : Clear, light winds, Cold
9 November 7 am to 9 November 6 pm : light winds, Cold
9 November 6 pm to 10 November 12 am : Clear, light winds, Cold",310,36.7256727,-97.1483034
Oklahoma,Muskogee,74401,"8 November 12 am to 8 November 4 am : Clear, light winds, Cold
8 November 4 am to 8 November 6 am : light winds, Cold
8 November 6 am to 8 November 5 pm : light winds, Hot
8 November 5 pm to 9 November 12 am : Clear, light winds, Cold
9 November 12 am to 9 November 2 am : light winds, Cold
9 November 2 am to 9 November 4 am : Clear, light winds, Cold
9 November 4 am to 10 November 12 am : light winds, Cold",176,35.7307768,-95.5353842
Texas,Amarillo,79101,"8 November 12 am to 8 November 8 am : Cold, light winds, Clear
8 November 8 am to 8 November 4 pm : light winds, Clear
8 November 4 pm to 10 November 12 am : Cold, light winds, Clear",1116,35.20713273,-101.835201
