State,City,Destination State,Destination,Distance/km,Time_Taken/min
Indiana,Hammond,Illinois,Chicago,45.7,38
Indiana,Hammond,Illinois,Springfield,315,184
Indiana,Hammond,Illinois,Rock Island,282,162
Indiana,Hammond,Illinois,Peoria,258,145
Indiana,Hammond,Illinois,Champaign,198,121
,,,,,
Alabama,Mobile,Alabama,Montgomery,271,146
Alabama,Mobile,Alabama,Dothan,317,189
Alabama,Mobile,Alabama,Tuscaloosa,315,213
Alabama,Mobile,Mississippi,Meridian,215,140
Alabama,Mobile,Mississippi,Biloxi,101,58
Alabama,Mobile,Mississippi,Hattiesburg,153,96
Alabama,Montgomery,Alabama,Mobile,271,143
Alabama,Montgomery,Alabama,Dothan,174,125
Alabama,Montgomery,Alabama,Birmingham,146,80
Alabama,Montgomery,Alabama,Tuscaloosa,166,113
Alabama,Montgomery,Alabama,Auburn,89,60
Alabama,Montgomery,Mississippi,Meridian,252,164
Alabama,Montgomery,Tennessee,Columbia,263,174
Alabama,Montgomery,Mississippi,Oxford,166,126
Alabama,Dothan,Alabama,Mobile,317,183
Alabama,Dothan,Alabama,Montgomery,174,124
Alabama,Dothan,Alabama,Tuscaloosa,331,235
Alabama,Dothan,Alabama,Auburn,187,132
Alabama,Birmingham,Alabama,Montgomery,145,81
Alabama,Birmingham,Alabama,Huntsville,162,87
Alabama,Birmingham,Alabama,Florence ,188,118
Alabama,Birmingham,Alabama,Tuscaloosa,92,55
Alabama,Birmingham,Alabama,Auburn,178,128
Alabama,Birmingham,Mississippi,Meridian,235,132
Alabama,Birmingham,Mississippi,Columbus,189,116
Alabama,Birmingham,Mississippi,Oxford,298,168
Alabama,Birmingham,Tennessee,Nashville,308,169
Alabama,Birmingham,Tennessee,Chattanooga,237,137
Alabama,Birmingham,Tennessee,Columbia,253,142
Alabama,Huntsville,Tennessee,Columbia,130,90
Alabama,Birmingham,Tennessee,Columbia,253,150
Alabama,Florence,Tennessee,Columbia,124,110
Alabama,Huntsville,Tennessee,Chattanooga,164,110
Alabama,Auburn,Tennessee,Chattanooga,353,240
,,,,,
,,,,,
Alabama,Huntsville,Alabama,Florence,122,87
Alabama,Huntsville,Alabama,Tuscaloosa,252,140
Alabama,Huntsville,Alabama,Auburn,325,127
Alabama,Huntsville,Alabama,Birmingham,167,90
Alabama,Huntsville,Mississippi,Oxford,308,187
Alabama,Huntsville,Mississippi,Southaven,348,212
Alabama,Huntsville,Mississippi,Columbus,265,186
Alabama,Huntsville,Tennessee,Columbia,122,83
Alabama,Huntsville,Tennessee,Nashville,178,112
Alabama,Huntsville,Tennessee,Chattanooga,164,99
Alabama,Huntsville,Tennessee,Memphis,347,214
Alabama,Florence,Alabama,Huntsville,117,80
Alabama,Florence,Alabama,Auburn,364,239
Alabama,Florence,Alabama,Tuscaloosa,197,147
Alabama,Florence,Alabama,Birmingham,187,116
Alabama,Florence,Mississippi,Oxford,224,141
Alabama,Florence,Mississippi,Southaven,251,155
Alabama,Florence,Mississippi,Columbus,187,140
Alabama,Florence,Tennessee,Dyersburg,251,167
Alabama,Florence,Tennessee,Memphis,250,158
Alabama,Tuscaloosa,Alabama,Huntsville,251,139
Alabama,Tuscaloosa,Alabama,Florence,197,146
Alabama,Tuscaloosa,Alabama,Auburn,253,166
Alabama,Tuscaloosa,Alabama,Mobile,315,210
Alabama,Tuscaloosa,Alabama,Montgomery,166,110
Alabama,Tuscaloosa,Alabama,Birmingham,92.9,54
Alabama,Tuscaloosa,Mississippi,Columbus,94.4,75
Alabama,Auburn,Alabama,Huntsville,340,214
Alabama,Auburn,Alabama,Florence,365,240
Alabama,Auburn,Alabama,Tuscaloosa,253,166
Alabama,Auburn,Alabama,Dothan,187,129
Alabama,Auburn,Alabama,Montgomery,88.9,59
Alabama,Auburn,Alabama,Birmingham,177,126
,,,,,
,,,,,
,,,,,
,,,,,
North Dakota,Bismarck,North Dakota,Jamestown,164,110
North Dakota,Bismarck,North Dakota,Bowman,281,170
North Dakota,Bismarck,North Dakota,Minot,178,130
North Dakota,Bismarck,North Dakota,New Town,239,160
North Dakota,Bismarck,North Dakota,Devils Lake,289,180
North Dakota,Bismarck,South Dakota,Pierre,330,210
North Dakota,Bismarck,South Dakota,Mobridge,181,120
North Dakota,Jamestown,North Dakota,Bismarck,164,110
North Dakota,Jamestown,North Dakota,Fargo,155,110
North Dakota,Jamestown,North Dakota,Devils Lake,159,100
North Dakota,Jamestown,North Dakota,Minot,274,170
North Dakota,Jamestown,North Dakota,New Town,358,220
North Dakota,Jamestown,South Dakota,Aberdeen,166,110
North Dakota,Bowman,North Dakota,Bismarck,285,172
North Dakota,Bowman,North Dakota,Minot,402,250
North Dakota,Bowman,North Dakota,New Town,272,170
North Dakota,Bowman,South Dakota,Rapid City,264,160
North Dakota,Bowman,South Dakota,Mobridge,262,170
North Dakota,Minot,North Dakota,Bismarck,178,130
North Dakota,Minot,North Dakota,Jamestown,274,170
North Dakota,Minot,North Dakota,Devils Lake,195,120
North Dakota,Minot,North Dakota,New Town,119,85
North Dakota,Minot,North Dakota,Bowman,402,250
North Dakota,Fargo,North Dakota,Jamestown,155,100
North Dakota,Fargo,North Dakota,Grand Forks,130,85
North Dakota,Fargo,Minnesota,St Cloud,277,190
North Dakota,Grand Forks,North Dakota,Fargo,130,90
North Dakota,Grand Forks,North Dakota,Devils Lake,144,100
North Dakota,Grand Forks,Minnesota,Thief River Falls,82.7,60
North Dakota,Grand Forks,Minnesota,Crookston,40.7,30
North Dakota,New Town,North Dakota,Bismarck,239,160
North Dakota,New Town,North Dakota,Jamestown,358,220
North Dakota,New Town,North Dakota,Minot,119,90
North Dakota,New Town,North Dakota,Bowman,272,170
North Dakota,Devils Lake,North Dakota,Bismarck,289,180
North Dakota,Devils Lake,North Dakota,Jamestown,159,100
North Dakota,Devils Lake,North Dakota,Minot,195,110
North Dakota,Devils Lake,North Dakota,Grand Forks,144,100
,,,,,
Wisconsin,Milwaukee,Wisconsin,Appleton,172,96
Wisconsin,Milwaukee,Wisconsin,Madison,128,76
Wisconsin,Milwaukee,Wisconsin,Wausau,303,167
Wisconsin,Milwaukee,Illinois,Chicago,149,109
Wisconsin,Milwaukee,Illinois,Rockford,152,89
Wisconsin,appleton,Wisconsin,milwaukee,172,95
Wisconsin,appleton,Wisconsin,Madison,169,113
Wisconsin,appleton,Wisconsin,Wisconsin Dells,160,113
Wisconsin,appleton,Wisconsin,Eau Claire,293,178
Wisconsin,appleton,Wisconsin,Green Bay,51,35
Wisconsin,appleton,Wisconsin,Wausau,165,93
Wisconsin,madison,Wisconsin,Milwaukee,128,79
Wisconsin,madison,Wisconsin,Appleton,175,111
Wisconsin,madison,Wisconsin,Wisconsin Dells,87.3,60
Wisconsin,madison,Wisconsin,Eau Claire,287,163
Wisconsin,madison,Wisconsin,Green Bay,226,136
Wisconsin,madison,Wisconsin,Wausau,230,130
Wisconsin,wisconsin dells,Wisconsin,milwaukee,196,112
Wisconsin,wisconsin dells,Wisconsin,appleton,161,116
Wisconsin,wisconsin dells,Wisconsin,madison,86.2,60
Wisconsin,wisconsin dells,Wisconsin,Eau Claire,201,112
Wisconsin,wisconsin dells,Wisconsin,Green Bay,212,141
Wisconsin,wisconsin dells,Wisconsin,Wausau,181,101
Wisconsin,Eau claire,Wisconsin,appleton,294,180
Wisconsin,Eau claire,Wisconsin,madison,286,167
Wisconsin,Eau claire,Wisconsin,wisconsin dells,201,114
Wisconsin,Eau claire,Wisconsin,Green Bay,309,176
Wisconsin,Eau claire,Wisconsin,Superior,244,141
Wisconsin,Eau claire,Wisconsin,Wausau,160,93
Wisconsin,green bay,Wisconsin,milwaukee,188,110
Wisconsin,green bay,Wisconsin,appleton,52.5,38
Wisconsin,green bay,Wisconsin,madison,222,140
Wisconsin,green bay,Wisconsin,wisconsin dells,213,142
Wisconsin,green bay,Wisconsin,Wausau,158,90
Wisconsin,green bay,Wisconsin,eau claire,313,175
Wisconsin,superior,Wisconsin,Wausau,375,216
Wisconsin,superior,Wisconsin,eau claire,242,141
Wisconsin,Wausau,Wisconsin,milwaukee,304,172
Wisconsin,Wausau,Wisconsin,Appleton,166,96
Wisconsin,Wausau,Wisconsin,Madison,230,136
Wisconsin,Wausau,Wisconsin,Wisconsin Dells,181,105
Wisconsin,Wausau,Wisconsin,Eau Claire,162,95
Wisconsin,Wausau,Wisconsin,Green Bay,157,94
Wisconsin,Wausau,Wisconsin,Superior,377,217
Wisconsin,milwaukee,Illinois, Naperville,168,109
Wisconsin,eau claire,Minnesota, minneapolis,149,93
Wisconsin,Madison,Iowa, Dubuque,148,94
,,,,,
South Dakota,Pierre,North Dakota,Bismarck,330,210
South Dakota,Pierre,South Dakota,Mobridge,175,108
South Dakota,Pierre,South Dakota,Mitchell,247,136
South Dakota,Pierre,South Dakota,Aberdeen,256,157
South Dakota,Pierre,South Dakota,Murdo,88,55
South Dakota,Pierre,South Dakota,Watertown,301,187
South Dakota,Pierre,South Dakota,Rapid City,278,160
South Dakota,Mobridge,South Dakota,Mitchell,380,208
South Dakota,Mobridge,South Dakota,Pierre,174,108
South Dakota,Mobridge,North Dakota,Bismarck,113,120
South Dakota,Mobridge,South Dakota,Murdo,262,162
South Dakota,Mobridge,South Dakota,Aberdeen,161,102
South Dakota,Mobridge,North Dakota,Bowman,263,170
South Dakota,Aberdeen,Minnesota,St Cloud,235,252
South Dakota,Aberdeen,South Dakota,Sioux Falls,328,193
South Dakota,Aberdeen,South Dakota,Pierre,262,159
South Dakota,Aberdeen,South Dakota,Watertown,163,101
South Dakota,Aberdeen,South Dakota,Mobridge,161,102
South Dakota,Aberdeen,North Dakota,Jamestown,166,110
South Dakota,Rapid City,South Dakota,Murdo,220,117
South Dakota,Rapid City,South Dakota,Pierre,277,157
South Dakota,Rapid City,North Dakota,Bowman,258,170
